"*firstName","*lastName","dob","dobVerified","*gender","*country","*occup","status","license","@img(page:1, pos:40 350, w:290, h:200, bgcol:#F5F5DC, border:5 round LightGray)"
"Yuri Petrovich","Shchekochikhin","*09.06.1950","*t","male","Azerbaijan","Journalist","killed","fair use","https://upload.wikimedia.org/wikipedia/en/c/cb/Yuri_Shchekochikhin.png,(https://en.wikipedia.org/wiki/Yuri_Shchekochikhin)"
"Marina","Silva","08.02.1958","*t","female","Brazil","Minister of Climate Change","alive","Twitter","https://pbs.twimg.com/profile_images/1577255224741400576/_1Vi_i-g_400x400.jpg,(https://en.wikipedia.org/wiki/Marina_Silva)"
"Greta","Thunberg","*03.01.2003","*t","female","Sweden","Environmental Activist","alive","CC BY 2.0","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Glastonbury2022_%28218_of_413%29_%2852182434551%29_%28cropped%29_%28cropped%29.jpg/505px-Glastonbury2022_%28218_of_413%29_%2852182434551%29_%28cropped%29_%28cropped%29.jpg,(https://en.wikipedia.org/wiki/Greta_Thunberg)"
"Alan","Turing","*23.06.1912","*t","male","UK","Computer Scientist","*deceased","Public Domain","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Alan_Turing_%281912-1954%29_in_1936_at_Princeton_University.jpg/236px-Alan_Turing_%281912-1954%29_in_1936_at_Princeton_University.jpg,(https://en.wikipedia.org/wiki/Alan_Turing)"
"Lester","Shum","11.06.1993","*t","male","Hong Kong","Social Activist","alive","Copyrighted free use","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/%E5%B2%91%E6%95%96%E6%9A%89_Legco_primary_%28cropped%29.png/180px-%E5%B2%91%E6%95%96%E6%9A%89_Legco_primary_%28cropped%29.png,(https://en.wikipedia.org/wiki/Lester_Shum)"
"Alexandria","Villaseñor","","f","female","USA","Climate Activist","alive","CC BY-SA 3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Alexandria_Villase%C3%B1or_receiving_Tribeca_Disruptive_Innovation_award.jpg/158px-Alexandria_Villase%C3%B1or_receiving_Tribeca_Disruptive_Innovation_award.jpg,(https://en.wikipedia.org/wiki/Alexandria_Villase%C3%B1or)"
"Joshua","Wong","*13.10.1996","*t","male","Hong Kong","Activist","imprisoned","Public Domain","https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Joshua_Wong_%282019%29.jpg/170px-Joshua_Wong_%282019%29.jpg,(https://en.wikipedia.org/wiki/Joshua_Wong)"
"Volodymyr","Zelenskyy","*25.01.1978","*t","male","Ukraine","President Ukraine","alive","PDM-owner","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Volodymyr_Zelenskyy_in_2022.jpg/173px-Volodymyr_Zelenskyy_in_2022.jpg,(https://en.wikipedia.org/wiki/Volodymyr_Zelenskyy)"
"Anton","Zeilinger","*20.05.1945","*t","male","Austria","Quantum Physicist","alive","CC BY-SA 2.5","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Godany_zeilinger2011_2452_blackboard.jpg/640px-Godany_zeilinger2011_2452_blackboard.jpg,(https://en.wikipedia.org/wiki/Anton_Zeilinger)"
"Gao","Zhisheng","*20.04.1964","*t","male","China","Attorney","unknown","CC BY 3.0","https://upload.wikimedia.org/wikipedia/commons/4/4d/6-Kao.jpg,(https://en.wikipedia.org/wiki/Gao_Zhisheng)"
